code,Sigungu,address,lon,lat
131141,救剧6悼,救剧矫 父救备 救剧肺 170锅辨 23 救剧6悼 林刮季磐,126.9306,37.3901
131142,何覆悼,救剧矫 悼救备 矫刮措肺 235 救剧矫没 刮盔角 2摸,126.9580,37.3941
131144,龋拌悼,救剧矫 悼救备 版荐措肺 504 龋拌汗钦没荤 苛惑,126.9587,37.3676
131145,救剧2悼,救剧矫 父救备 救剧肺 384锅辨 50 救剧2悼 林刮季磐,126.9176,37.4051
131121,窜措悼,己巢矫 荐沥备 锐噶肺506锅辨 21 窜措悼 林刮季磐 苛惑,127.1554,37.4494
131123,沥磊悼,己巢矫 盒寸备 炔货匡肺18锅辨 14 沥磊悼 林刮季磐 苛惑,127.1114,37.3615
131124,荐郴悼,己巢矫 盒寸备 盒寸肺 50 盒寸备没 苛惑,127.1190,37.3826
131126,汗沥悼,己巢矫 荐沥备 己巢措肺 1416锅辨 22 惑荐档荤诀家,127.1312,37.4572
131128,款吝悼,己巢矫 盒寸备 款吝肺 138锅辨 10 款吝悼 林刮季磐 苛惑,127.0807,37.3905
131129,惑措盔悼,己巢矫 吝盔备 敌锰措肺 425 惑措盔1悼 林刮季磐 苛惑,127.1645,37.4329
131131,狼沥何悼,狼沥何矫 裹榜肺 138 版扁档档肺荤诀家 苛惑,127.0408,37.7356
131132,狼沥何1悼,狼沥何矫 啊瓷肺 152锅辨 14 狼沥何1悼 林刮季磐 苛惑,127.0477,37.7463
131133,价魂3悼,狼沥何矫 刮遏悼 886 仟弗付寸 辟赴傍盔 牢辟 楷搬踌瘤(价剧蜡摹盔苞 刮遏玫 荤捞),127.1059,37.7481
131161,枚魂悼,堡疙矫 矫没肺 20 堡疙矫没 力1喊包 苛惑(3摸),126.8652,37.4786
131163,家窍悼,堡疙矫 家窍1肺 7 家窍档辑包,126.8880,37.4455
131191,绊儡悼,救魂矫 窜盔备 拳尔肺 387 救魂矫没,126.8304,37.3221
131192,盔矫悼,救魂矫 窜盔备 魂窜肺 112 辟肺磊汗瘤包,126.8122,37.3346
131193,夯坷悼,救魂矫 惑废备 阿榜肺 75 夯坷2悼 林刮季磐,126.8723,37.2963
131194,盔邦悼,救魂矫 窜盔备 盔急肺 91 盔邦2悼 林刮季磐,126.8019,37.3316
131195,何邦悼,救魂矫 惑废备 己龋肺 326 何邦悼 林刮季磐,126.8611,37.3320
131196,措何悼,救魂矫 窜盔备 措何吝居肺 97-9 措何悼 林刮季磐,126.5853,37.2437
131197,龋荐悼,救魂矫 窜盔备 救魂玫巢肺 119 剧瘤吝切背 ,126.8335,37.3049
131341,厚傈悼,乞琶矫 版扁措肺 245 乞琶矫没 苛惑,127.1128,36.9923
131342,救吝,乞琶矫 救吝谰 救泅肺 400 救吝谰荤公家 苛惑,126.9314,36.9859
131343,乞琶亲,乞琶矫 器铰谰 乞琶亲肺184锅辨 38 茄惫魂诀窜瘤傍窜,126.8455,36.9746
131344,价合悼,乞琶矫 瘤魂2肺 113 价合悼 青沥汗瘤季磐 苛惑,127.0601,37.0816
131345,没合谰,乞琶矫 没合谰 救没肺2辨 60 没合巩拳季磐 瘤惑,126.9182,37.0203
131346,绊傣搁, 乞琶矫 绊傣搁 咯堪府 4246 辆傣檬殿切背 苛惑,127.0462,37.0533
131201,喊剧悼,苞玫矫 内坷氛肺 53 巩盔檬殿切背 苛惑,126.9943,37.4239
131202,苞玫悼,苞玫矫 惑窍国肺 17 券版荤诀家 盒储贸府悼 2摸,127.0023,37.4491
131211,背巩悼,备府矫 酒瞒魂肺 439 备府矫没 苛惑,127.1297,37.5945
131212,悼备悼,备府矫 悼备釜肺 217-14 悼备绢赴捞笼 苛惑,127.1381,37.6186
131222,何邦3悼,狼空矫 傣康措肺 166 (伙悼) 何邦悼 没家斥 巩拳狼笼 苛惑,126.9572,37.3177
131223,绊玫悼,狼空矫 矫没肺11 狼空矫没 刮盔角,126.9690,37.3442
131381,青脚悼,绊剧矫 傣剧备 拳脚肺 148 青脚 硅荐瘤,126.8419,37.6249
131382,侥荤悼,绊剧矫 老魂悼备 困矫萍肺 151 剧老檬殿切背,126.8134,37.6855
131384,脚盔悼,绊剧矫 傣剧备 脚盔2肺 24 脚盔档辑包 苛惑,126.8867,37.6664
131385,林勘悼,绊剧矫 老魂辑备 林勘肺 104(林勘绢赴捞档辑包 苛惑),126.7564,37.6683
131392,版救悼,堡林矫 吝居肺 128 丑蛆吝居雀 苛惑,127.2579,37.4112
131394,坷器谰,堡林矫 坷器谰 坷器肺 859锅辨 29(坷器谰荤公家),127.2286,37.3662
131395,帮瘤鞠,堡林矫 帮瘤鞠谰 堡咯肺 59 帮瘤鞠谰青沥汗瘤季磐 苛惑,127.3523,37.3510
131501,寸悼,焙器矫 魂夯肺197锅辨 36 寸悼档辑包,126.9452,37.3537
131502,魂夯悼,焙器矫 没归府辨 6 焙器矫咯己雀包 苛惑,126.9336,37.3617
131231,沥空悼,矫蕊矫 沥空措肺233锅辨 19 沥空焊扒瘤家 苛惑,126.7401,37.3468
131232,矫拳魂窜,矫蕊矫 傍窜1措肺 204 (矫拳蜡烹惑啊 27悼),126.7241,37.3372
131233,措具悼,矫蕊矫 汗瘤肺 37 (促促目孤聪萍季磐),126.7884,37.4431
131234,格皑悼,矫蕊矫 贾绊俺肺 33 (格皑傍盔),126.8618,37.3861
131235,厘泅悼,矫蕊矫 矫没肺 20 固贰虐框绢赴捞笼 苛惑,126.8040,37.3801
831151,家荤夯悼,何玫矫 版牢烤肺 73 (家荤绢匡付寸),126.7999,37.4800
831152,郴悼,何玫矫 伙累肺 109 脚蕊悼 林刮磊摹季磐 苛惑,126.7737,37.5203
831153,吝2悼,何玫矫 缴吝肺 121 氓付风 档辑包 苛惑,126.7701,37.4939
831154,坷沥悼,何玫矫 己坷肺 172 (坷沥酒飘圈),126.7962,37.5280
131241,陛邦悼,巢剧林矫 版冕肺 1037 巢剧林矫没脚包,127.2162,37.6356
131242,坷巢谰,巢剧林矫 坷巢谰 柳扒坷巢肺 806-34 坷巢谰荤公家,127.2047,37.6987
131243,喊郴悼,巢剧林矫 喊郴吝居肺 148(拳立檬殿切背 苛惑),127.1159,37.6529
131244,拳档谰,巢剧林矫 拳档谰 厚锋肺 59(拳档谰荤公家 苛惑),127.3007,37.6578
131246,客何谰,巢剧林矫 客何谰 档邦辨 7 傣家吝切背 饶包悼 苛惑,127.2268,37.5809
131247,柳立谰,巢剧林矫 柳立谰 陛碍肺 1509-26 柳立坷巢青沥汗瘤季磐 苛惑,127.1898,37.7264
131411,辫樊厘悼,侩牢矫 贸牢备 陛飞肺 50 贸牢备没,127.2014,37.2345
131412,荐瘤,侩牢矫 荐瘤备 荐瘤肺 342锅辨 3 浅傣玫1悼 林刮季磐,127.0951,37.3279
131413,扁蕊,侩牢矫 扁蕊备 包邦肺 95 扁蕊备没,127.1151,37.2802
131415,葛泅谰,侩牢矫 贸牢备 葛泅谰 刀痢肺 31-6 葛泅谰荤公家(3摸) 苛惑,127.2423,37.3295
131416,捞悼谰,侩牢矫 贸牢备 捞悼谰 版扁悼肺 673,127.1962,37.1411
131417,归鞠搁,侩牢矫 贸牢备 归鞠搁 归鞠肺185锅辨 12,127.3750,37.1631
131471,荤快悼,辫器矫 倒巩肺 51 荤快悼 林刮季磐,126.7168,37.6193
131472,绊锰谰,辫器矫 绊锰谰 脚邦肺 152 辫器惑窍荐档荤诀家,126.7628,37.6067
131473,岿谤搁,辫器矫 岿谤搁 焙窍肺 263 岿谤搁 林刮磊摹季磐 苛惑,126.5529,37.7151
131474,茄碍脚档矫,辫器矫 剧锰谰 剧邦2肺 30锅辨 46 (辫器刀赋款悼扁充包 苛惑),126.6291,37.6533
131531,坷魂悼,坷魂矫 版扁悼肺 51 绊侩汗瘤敲矾胶季磐,127.0771,37.1592
131541,脚厘悼,窍巢矫 措没肺 10 窍巢矫没 辆钦刮盔角,127.2146,37.5391
131542,固荤,窍巢矫 酒府荐肺 531 固荤2悼 青沥汗瘤季磐 苛惑,127.1861,37.5670
131551,巢剧谰,拳己矫 巢剧己瘤肺 192-5 巢剧谰林刮季磐,126.8240,37.2115
131552,氢巢,拳己矫 氢巢谰 惯救肺 89 氢巢谰荤公家 苛惑,126.9202,37.1324
131553,悼藕,拳己矫 悼藕馆籍肺 87 悼藕2悼 林刮季磐 苛惑,127.0723,37.1969
131555,没拌悼,拳己矫 悼藕鉴券措肺22辨 13 (抗贾檬殿切背 苛惑),127.1195,37.1961
131554,快沥谰,拳己矫 快沥谰 街豪肺 109-14(快沥谰荤公家 苛惑),126.8154,37.0898
131556,货贾悼,拳己矫 货贾悼 荐畴阑吝居肺 178 (货贾悼 青沥汗瘤季磐 苛惑),126.8187,37.2814
131557,豪淬谰,拳己矫 豪淬谰 基付阑1辨 8-4 (拳己矫赋豪淬档辑包 苛惑),126.9491,37.2196
131558,辑脚搁,拳己矫 辑脚搁 泵乞亲肺 1702 辑脚搁荤公家 苛惑,126.7088,37.1665
131561,归籍谰,剧林矫 归籍谰 厕唱公肺 199 厕唱公档辑包,126.9872,37.7924
131562,绊谰,剧林矫 绊谰巢肺 205(没家斥巩拳狼笼 苛惑),127.0843,37.7926
131571,焊魂悼,悼滴玫矫 轿府富肺28 焊魂悼 林刮季磐,127.0613,37.9176
131581,豪魂悼,救己矫 矫没辨 25 救己矫没 侥寸悼 苛惑,127.2799,37.0076
131583,傍档谰,救己矫 傍档谰 傍档4肺 8 (傍档谰 林刮季磐),127.1726,37.0012
131584,磷魂搁,救己矫 磷魂搁 巢何辨 60 悼救辑矫刮汗瘤季磐 苛惑,127.4244,37.0745
131591,吝居悼,咯林矫 咯蕊肺11锅辨 26 吝居悼林刮季磐,127.6289,37.2987
131592,措脚搁,咯林矫 措脚搁 啦锰1辨 12-10,127.5847,37.3712
131593,啊巢谰,咯林矫 啊巢谰 怕乞吝居1辨 20 啊巢谰青沥汗瘤季磐 苛惑,127.5452,37.2019
131601,楷玫,楷玫焙 楷玫谰 瞒泅肺 58 楷玫焙没 瘤开版力苞 苛惑,127.0748,38.0964
131611,啊乞谰,啊乞焙 啊乞谰 籍豪肺 181 狼雀悼 苛惑,127.5098,37.8312
131612,汲厩搁,啊乞焙 汲厩搁 茄辑肺 8 汲厩搁  青沥汗瘤季磐 苛惑,127.4947,37.6762
131621,侩巩搁,"剧乞焙 侩巩搁 侩巩肺 395, 侩巩档辑包 苛惑",127.5962,37.4872
131622,剧乞谰,剧乞焙 剧乞谰 付蜡魂肺 17 居乞焙 焊扒家 苛惑,127.4866,37.4971
131442,芒傈悼,捞玫矫 康芒肺 163锅辨 28 绢福脚桨磐,127.4409,37.2835
131443,厘龋盔谰,捞玫矫 厘龋盔谰 坷巢府 27 傍康林瞒厘 涝备,127.6297,37.1143
131444,何惯谰,捞玫矫 何惯谰 公锰肺 117 (何惯焊扒瘤家 苛惑),127.4867,37.2833
131371,陛锰悼,颇林矫 饶邦肺 13 背腊巩拳雀包 喊包 苛惑,126.7739,37.7563
131372,款沥,颇林矫 客籍鉴券肺 470 茄惫配瘤傍荤,126.7564,37.7232
131374,颇林谰,颇林矫 颇林谰 背腊辨 13 颇林矫 刮规困背腊厘,126.8332,37.8308
131453,急窜悼,器玫矫 伙腊荤肺2186锅辨 11-15 急窜焊扒瘤家 苛惑,127.1592,37.8535
131454,老悼搁,器玫矫 拳悼肺 1099锅辨 30(老悼搁荤公家 苛惑),127.3173,37.9612
132112,吝居肺,冕玫矫 吝居肺辨 135 冕玫矫焊扒家 3摸 苛惑,127.7205,37.8756
132113,籍荤悼,冕玫矫 寇贾辨 17 碍盔档 俺惯傍荤,127.7495,37.8571
