상대원동,131129,2021-12-20 24:00,127.1645,37.4329,0.003,0.7,2,0.040,66,37
의정부동,131131,2021-12-20 24:00,127.0408,37.7356,0.004,0.9,2,0.052,65,40
의정부1동,131132,2021-12-20 24:00,127.0477,37.7463,0.003,1.0,2,0.046,78,59
송산3동,131133,2021-12-20 24:00,127.1059,37.7481,0.004,0.6,2,0.038,42,32
철산동,131161,2021-12-20 24:00,126.8652,37.4786,0.002,0.7,2,0.043,79,43
소하동,131163,2021-12-20 24:00,126.888,37.4455,0.002,0.7,2,0.041,84,42
고잔동,131191,2021-12-20 24:00,126.8304,37.3221,0.004,0.9,2,0.062,68,47
원시동,131192,2021-12-20 24:00,126.8122,37.3346,0.006,0.5,2,0.019,72,40
원곡동,131194,2021-12-20 24:00,126.8019,37.3316,0.004,0.6,2,0.044,74,50
부곡동,131195,2021-12-20 24:00,126.8611,37.332,0.004,0.4,2,0.021,60,31
대부동,131196,2021-12-20 24:00,126.5853,37.2437,0.003,0.5,2,0.015,52,23
호수동,131197,2021-12-20 24:00,126.8335,37.3049,0.003,0.6,2,0.036,59,24
비전동,131341,2021-12-20 24:00,127.1128,36.9923,0.004,0.7,2,0.048,70,46
안중,131342,2021-12-20 24:00,126.9314,36.9859,0.002,0.4,2,0.016,64,33
평택항,131343,2021-12-20 24:00,126.8455,36.9746,0.002,0.4,2,0.025,71,36
송북동,131344,2021-12-20 24:00,127.0601,37.0816,0.004,0.8,2,0.046,74,49
청북읍,131345,2021-12-20 24:00,126.9182,37.0203,0.003,0.5,2,0.014,63,35
고덕면,131346,2021-12-20 24:00,127.0462,37.0533,0.003,0.6,2,0.028,59,32
별양동,131201,2021-12-20 24:00,126.9943,37.4239,0.003,0.7,2,0.050,68,37
과천동,131202,2021-12-20 24:00,127.0023,37.4491,0.003,0.8,2,0.045,71,40
교문동,131211,2021-12-20 24:00,127.1297,37.5945,0.002,0.7,2,0.056,68,39
동구동,131212,2021-12-20 24:00,127.1381,37.6186,0.002,0.5,2,0.030,81,46
부곡3동,131222,2021-12-20 24:00,126.9572,37.3177,0.003,0.7,2,0.049,66,34
고천동,131223,2021-12-20 24:00,126.969,37.3442,0.002,0.6,2,0.033,64,38
행신동,131381,2021-12-20 24:00,126.8419,37.6249,0.003,0.8,2,0.060,70,36
식사동,131382,2021-12-20 24:00,126.8134,37.6855,0.002,0.7,2,0.058,70,33
신원동,131384,2021-12-20 24:00,126.8867,37.6664,0.009,1.5,2,0.037,87,70
주엽동,131385,2021-12-20 24:00,126.7564,37.6683,0.002,0.9,2,0.056,78,38
경안동,131392,2021-12-20 24:00,127.2579,37.4112,0.003,1.0,2,0.045,75,44
오포읍,131394,2021-12-20 24:00,127.2286,37.3662,0.002,1.0,2,0.042,78,36
곤지암,131395,2021-12-20 24:00,127.3523,37.351,0.002,0.9,2,0.028,83,47
당동,131501,2021-12-20 24:00,126.9452,37.3537,0.003,0.8,2,0.064,81,39
산본동,131502,2021-12-20 24:00,126.9336,37.3617,0.002,0.9,2,0.043,63,35
정왕동,131231,2021-12-20 24:00,126.7401,37.3468,0.003,0.7,2,0.043,76,49
시화산단,131232,2021-12-20 24:00,126.7241,37.3372,0.002,0.6,2,0.021,85,38
대야동,131233,2021-12-20 24:00,126.7884,37.4431,0.004,0.9,2,0.040,66,42
목감동,131234,2021-12-20 24:00,126.8618,37.3861,0.003,1.1,2,0.051,64,39
장현동,131235,2021-12-20 24:00,126.804,37.3801,0.002,0.5,2,0.037,75,39
소사본동,831151,2021-12-20 24:00,126.7999,37.48,0.003,0.7,2,0.057,72,46
내동,831152,2021-12-20 24:00,126.7737,37.5203,0.004,0.8,2,0.057,69,38
중2동,831153,2021-12-20 24:00,126.7701,37.4939,0.003,0.7,2,0.060,71,40
오정동,831154,2021-12-20 24:00,126.7962,37.528,0.003,0.9,2,0.063,68,37
금곡동,131241,2021-12-20 24:00,127.2162,37.6356,0.004,0.6,2,0.044,54,37
오남읍,131242,2021-12-20 24:00,127.2047,37.6987,0.003,1.0,2,0.046,68,44
별내동,131243,2021-12-20 24:00,127.1159,37.6529,0.003,0.7,2,0.029,70,36
화도읍,131244,2021-12-20 24:00,127.3007,37.6578,0.003,1.1,2,0.059,87,49
와부읍,131246,2021-12-20 24:00,127.2268,37.5809,0.003,0.5,2,0.030,61,28
진접읍,131247,2021-12-20 24:00,127.1898,37.7264,0.003,0.6,2,0.031,63,28
김량장동,131411,2021-12-20 24:00,127.2014,37.2345,0.002,0.8,2,0.039,72,39
수지,131412,2021-12-20 24:00,127.0951,37.3279,0.002,0.8,2,0.047,76,45
기흥,131413,2021-12-20 24:00,127.1151,37.2802,0.002,0.7,2,0.049,81,41
모현읍,131415,2021-12-20 24:00,127.2423,37.3295,0.002,0.8,2,0.031,86,48
이동읍,131416,2021-12-20 24:00,127.1962,37.1411,0.002,0.9,2,0.027,83,53
백암면,131417,2021-12-20 24:00,127.375,37.1631,0.002,0.6,2,0.023,77,47
사우동,131471,2021-12-20 24:00,126.7168,37.6193,0.003,1.0,2,0.055,69,41
월곶면,131473,2021-12-20 24:00,126.5529,37.7151,0.002,0.8,2,0.022,74,56
한강신도시,131474,2021-12-20 24:00,126.6291,37.6533,0.003,0.8,2,0.040,91,47
오산동,131531,2021-12-20 24:00,127.0771,37.1592,0.003,0.6,2,0.048,65,41
신장동,131541,2021-12-20 24:00,127.2146,37.5391,0.003,0.6,2,0.045,60,29
미사,131542,2021-12-20 24:00,127.1861,37.567,0.003,0.7,2,0.049,67,28
남양읍,131551,2021-12-20 24:00,126.824,37.2115,0.002,0.6,2,0.036,64,44
동탄,131553,2021-12-20 24:00,127.0723,37.1969,0.003,0.7,2,0.054,72,42
청계동,131555,2021-12-20 24:00,127.1195,37.1961,0.002,0.4,2,0.018,75,43
우정읍,131554,2021-12-20 24:00,126.8154,37.0898,0.003,0.6,2,0.037,71,38
새솔동,131556,2021-12-20 24:00,126.8187,37.2814,0.002,0.6,2,0.026,78,41
봉담읍,131557,2021-12-20 24:00,126.9491,37.2196,0.003,0.6,2,0.039,81,45
서신면,131558,2021-12-20 24:00,126.7088,37.1665,0.002,0.5,2,0.010,59,37
백석읍,131561,2021-12-20 24:00,126.9872,37.7924,0.002,0.5,2,0.033,71,42
