"STNID","TYPE","longitude","latitude","avg_PM2.5"
"1473A","PM2.5",108.985,34.1978,38.074963432472
"1474A","PM2.5",109.051,34.3213,40.5214910150559
"1475A","PM2.5",103.7222,36.0812,NA
"1476A","PM2.5",103.631,36.1031,45.8902932875199
"1477A","PM2.5",104.1373,35.9454,28.5476480623934
"1478A","PM2.5",103.8412,36.0726,33.901977750309
"1479A","PM2.5",103.831,36.0464,37.109672691744
"1480A","PM2.5",101.748,36.6428,NA
"1481A","PM2.5",101.749,36.6922,NA
"1482A","PM2.5",101.834,36.5819,60
"1483A","PM2.5",101.524,36.6867,24.9015151515152
"1484A","PM2.5",105.9512,38.6016,22.474063224704
"1485A","PM2.5",106.2682,38.4744,NA
"1486A","PM2.5",106.217,38.4536,NA
"1487A","PM2.5",106.0715,38.4858,NA
"1488A","PM2.5",106.2328,38.4975,33.8011622031329
"1489A","PM2.5",106.1358,38.5036,30.8573190282402
"1490A","PM2.5",87.5801,43.8303,44.5204146125648
"1491A","PM2.5",87.6046,43.768,39.8500749625187
"1492A","PM2.5",87.4754,43.9469,59.9627719783675
"1493A","PM2.5",87.5525,43.8711,50.9786712429517
"1494A","PM2.5",87.6432,43.831,43.3796707603867
"1495A","PM2.5",87.4171,43.8729,NA
"1496A","PM2.5",87.7216,44.1747,53.8285396864585
"1508A","PM2.5",112.9433,27.8614,43.4867692307692
"1511A","PM2.5",112.9118,27.8403,42.4978381717109
"1512A","PM2.5",112.8937,27.8728,41.4120455380096
"1513A","PM2.5",112.9227,27.8159,42.1078048780488
"1514A","PM2.5",112.9074,27.9119,41.3195599022005
"1515A","PM2.5",113.135,27.8244,38.9177668804225
"1518A","PM2.5",113.095,27.8867,37.0237027546445
